Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Trading name,Number of patrons,x coordinate,y coordinate,Location
2002,204,101613,101613,377-391 Cardigan Street CARLTON 3053,Carlton,Clyde Hotel,239,144.96580,-37.79730,POINT (144.9658 -37.7973)
2002,214,106186,106186,414-422 Lygon Street CARLTON 3053,Carlton,Percys Bar & Bistro,120,144.96780,-37.79690,POINT (144.9678 -37.7969)
2002,215,108202,108202,415-421 Rathdowne Street CARLTON 3053,Carlton,Clare Castle Hotel,50,144.97040,-37.79650,POINT (144.9704 -37.7965)
2002,228,101450,101450,223-227 Canning Street CARLTON 3053,Carlton,Dan O'Connell Hotel,600,144.97340,-37.79300,POINT (144.9734 -37.793)
2002,247,106238,106238,192-202 Lygon Street CARLTON 3053,Carlton,Players On Lygon,200,144.96710,-37.80250,POINT (144.9671 -37.8025)
2002,252,106244,106244,160-162 Lygon Street CARLTON 3053,Carlton,Bar Centrale,500,144.96680,-37.80340,POINT (144.9668 -37.8034)
2002,255,101593,101593,91-95 Cardigan Street CARLTON 3053,Carlton,Lincoln Hotel,50,144.96450,-37.80450,POINT (144.9645 -37.8045)
2002,255,109366,109366,594-600 Swanston Street CARLTON 3053,Carlton,Canada Hotel,250,144.96390,-37.80280,POINT (144.9639 -37.8028)
2002,266,106081,106081,27-31 Lygon Street CARLTON 3053,Carlton,John Curtin Hotel,350,144.96570,-37.80620,POINT (144.9657 -37.8062)
2002,267,106251,106251,66-88 Lygon Street CARLTON 3053,Carlton,Lagers On Lygon,80,144.96660,-37.80530,POINT (144.9666 -37.8053)
2002,1103,558180,558180,94-148 Harbour Esplanade DOCKLANDS 3008,Docklands,Locker Room Club Bar,500,144.94750,-37.81670,POINT (144.9475 -37.8167)
2002,131,108844,108844,1-5 Spencer Street DOCKLANDS 3005,Docklands,Holiday Inn Melbourne,130,144.95500,-37.82270,POINT (144.955 -37.8227)
2002,618,109993,109993,178-226 Wellington Parade EAST MELBOURNE 3002,East Melbourne,Hilton Hotels of Australia (Melbourne) Pty Ltd,200,144.98350,-37.81580,POINT (144.9835 -37.8158)
2002,618,109993,109993,178-226 Wellington Parade EAST MELBOURNE 3002,East Melbourne,MCG Worx,144,144.98350,-37.81580,POINT (144.9835 -37.8158)
2002,658,110266,110266,Brunton Avenue JOLIMONT 3002,East Melbourne,Spotless Services,2545,144.98310,-37.82000,POINT (144.9831 -37.82)
2002,105,103301,103301,442-450 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),Melbourne International Backpackers,365,144.96090,-37.80830,POINT (144.9609 -37.8083)
2002,105,109317,109317,427-433 Swanston Street MELBOURNE 3000,Melbourne (CBD),The Oxford Scholar Hotel,486,144.96290,-37.80850,POINT (144.9629 -37.8085)
2002,11,103993,103993,508-514 Flinders Street MELBOURNE 3000,Melbourne (CBD),Waterside Hotel,400,144.95720,-37.82020,POINT (144.9572 -37.8202)
2002,11,108971,108971,24-40 Spencer Street MELBOURNE 3000,Melbourne (CBD),Holiday Inn On Flinders Melbourne,100,144.95520,-37.82020,POINT (144.9552 -37.8202)
2002,11,108972,108972,10-22 Spencer Street MELBOURNE 3000,Melbourne (CBD),Explorers Inn,50,144.95520,-37.82050,POINT (144.9552 -37.8205)
2002,114,109493,109493,143-151 Therry Street MELBOURNE 3000,Melbourne (CBD),Mercat Cross Hotel,230,144.95840,-37.80790,POINT (144.9584 -37.8079)
2002,115,103293,103293,502-504 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),Stork Hotel,180,144.96040,-37.80720,POINT (144.9604 -37.8072)
2002,115,104103,104103,34-38 Franklin Street MELBOURNE 3000,Melbourne (CBD),Mac's Hotel,125,144.96160,-37.80750,POINT (144.9616 -37.8075)
2002,13,108058,108058,7-11 Queen Street MELBOURNE 3000,Melbourne (CBD),The Bliss Lounge,210,144.96190,-37.81860,POINT (144.9619 -37.8186)
2002,14,101099,101099,16-26 Bond Street MELBOURNE 3000,Melbourne (CBD),Bond Lounge,280,144.96310,-37.81810,POINT (144.9631 -37.8181)
2002,14,103165,103165,1-5 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),Hosies Tavern,270,144.96460,-37.81810,POINT (144.9646 -37.8181)
