"","block_year","development_key","year_completed","clue_block","street_address","resi_dwellings","studio_dwe","one_bdrm_dwe","two_bdrm_dwe","three_bdrm_dwe","student_apartments","student_beds","student_accommodation_units","car_spaces","bike_spaces","longitude","latitude","block_id","census_year","bar_pub_patron_limit","cafe_restaurant_seats_indoor","cafe_restaurant_seats_outdoor","dwelling_house_townhouse","dwelling_residential_apartments","dwelling_student_apartments","m2_commercial_accommodation","m2_common_area","m2_community_use","m2_educational_research","m2_entertainment_recreation_indoor","m2_equipment_installation","m2_hospital_clinic","m2_house_townhouse","m2_institutional_accommodation","m2_manufacturing","m2_office","m2_park_reserve","m2_parking_commercial_covered","m2_parking_commercial_uncovered","m2_parking_private_covered","m2_parking_private_uncovered","m2_performances_conferences_ceremonies","m2_private_outdoor_space","m2_public_display_area","m2_residential_apartment","m2_retail_cars","m2_retail_shop","m2_retail_showroom","m2_retail_stall","m2_sports_and_recreation_outdoor","m2_square_promenade","m2_storage","m2_student_accommodation","m2_transport","m2_transport_storage_uncovered","m2_unoccupied_under_construction","m2_unoccupied_under_demolition_condemned","m2_unoccupied_under_renovation","m2_unoccupied_undeveloped_site","m2_unoccupied_unused","m2_wholesale","m2_workshop_studio","parking_n_commercial","parking_n_private","parking_n_residential","services_accommodation_and_food","services_administrative_and_support","services_agriculture_forestry_and_fishing","services_arts_and_recreation","services_construction","services_education_and_training","services_electricity_gas_water_and_waste","services_financial_and_insurance","services_health_care_and_social_assistance","services_information_media_and_telecommunications","services_manufacturing","services_mining","services_other","services_professional_scientific_and_technical","services_public_administration_and_safety","services_rental_hiring_and_real_estate","services_retail_trade","services_transport_postal_and_warehousing","services_wholesale_trade"
"1","333_2005","X000459",2005,333,"218-224 Abbotsford Street NORTH MELBOURNE VIC 3051",12,0,0,0,0,0,0,0,0,0,144.9459475,-37.80204879,333,2005,0,12,0,28,15,0,0,1033,0,0,0,0,0,4272,0,0,2485,0,0,0,0,0,0,812,0,1948,0,881,0,0,0,0,588,0,0,0,0,0,0,0,0,1091,1203,0,38,32,1,0,0,0,0,0,0,1,2,3,0,0,6,5,0,1,4,0,4
"2","414_2013","X000573",2013,414,"56-62 Abbotsford Street WEST MELBOURNE VIC 3003",3,0,0,0,3,0,0,0,0,0,144.9447186,-37.80679128,414,2013,0,27,5,38,56,0,0,1146,0,0,0,0,0,4238,0,0,2468,0,0,0,1372,0,0,3664,0,4650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,94,1,0,0,0,0,0,0,1,0,2,1,0,2,4,1,1,0,0,0
"3","104_2011","X000288",2011,104,"150-154 A'Beckett Street MELBOURNE VIC 3000",0,0,0,0,0,0,0,0,0,0,144.9589709,-37.80959665,104,2011,430,460,123,1,216,75,4763,12871,0,3617,2303,278,0,0,0,0,1147,0,12849,0,2718,0,0,1396,0,16839,0,1806,0,0,0,0,338,6800,0,0,0,0,0,0,1821,0,0,691,93,132,15,2,0,0,0,3,2,1,1,1,2,0,7,2,0,2,6,0,0
"4","409_2014","X000563",2014,409,"1-9 Stawell Street WEST MELBOURNE VIC 3003",28,0,17,11,0,0,0,0,0,28,144.9420962,-37.80607242,409,2014,0,15,10,5,28,0,0,809,0,0,0,0,0,474,0,0,1741,0,0,0,0,0,0,628,0,1639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,894,0,0,0,25,2,1,0,0,0,0,0,1,0,0,0,0,0,1,5,0,0,0,1,0
"5","257_2005","X000395",2005,257,"24-30 Barkly Place CARLTON VIC 3053",0,0,0,0,0,83,0,83,0,0,144.9614476,-37.803003,257,2005,0,176,23,10,31,122,0,4546,0,11251,0,0,0,1869,0,0,7003,0,0,0,3958,0,0,3116,0,3522,0,390,0,0,0,0,0,2303,0,0,2505,0,0,0,7107,0,0,0,127,47,3,0,0,0,0,1,2,0,2,0,3,0,1,3,0,0,1,1,1
"6","257_2002","X000394",2002,257,"16-18 Barkly Place CARLTON VIC 3053",14,0,0,0,0,0,0,0,0,0,144.9614195,-37.80320056,257,2002,0,140,0,10,15,0,0,4910,0,9135,0,0,0,1583,0,0,6702,0,0,0,3138,0,0,3865,0,2548,0,2430,0,0,0,0,0,0,0,0,289,0,0,0,379,0,0,0,115,5,1,1,0,0,0,1,2,1,4,0,3,0,5,5,0,0,1,1,0
"7","659_2015","X000706",2015,659,"Melbourne Park 200 Batman Avenue MELBOURNE VIC 3004",0,0,0,0,0,0,0,0,0,0,144.9790068,-37.82129682,659,2015,0,4920,50,0,0,0,0,25094,0,0,55367,0,0,0,0,0,10128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6054,0,0,0,0,0,0,909,577,0,3,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"8","101_2014","X000279",2014,101,"49-53 Batman Street WEST MELBOURNE VIC 3003",140,0,114,26,0,0,0,0,0,90,144.9515544,-37.81113438,101,2014,0,243,51,5,519,0,0,19000,0,0,945,0,0,960,0,0,4959,0,0,0,6361,0,0,3993,0,37093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14735,0,0,108,59,357,3,0,0,0,0,2,1,0,1,1,3,0,3,2,0,0,0,0,0
"9","444_2009","X000617",2009,444,"115-129 Batman Street WEST MELBOURNE VIC 3003",0,0,0,0,0,0,0,0,0,0,144.9493029,-37.8116145,444,2009,0,30,12,4,5,0,0,3383,0,0,0,0,0,602,0,0,18783,0,0,0,5479,0,0,2984,0,915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4017,0,0,39,170,5,1,2,0,0,1,2,0,2,0,0,0,0,2,6,1,0,0,0,2
"10","87_2003","X000231",2003,87,"11-21 Bennetts Lane MELBOURNE VIC 3000",0,0,0,0,0,0,0,0,0,0,144.9676825,-37.80916563,87,2003,670,659,0,8,215,0,0,15479,0,0,2222,4430,0,1408,0,0,36122,0,0,0,4656,0,0,1185,0,13377,0,1310,0,0,0,0,209,0,0,0,0,0,0,0,3340,0,0,0,120,139,16,1,0,0,2,2,1,2,3,1,1,0,6,13,4,2,1,3,1
"11","87_2010","X000229",2010,87,"10-14 Bennetts Lane MELBOURNE VIC 3000",0,0,0,0,0,0,0,0,0,0,144.967921,-37.80905204,87,2010,560,811,12,8,294,0,0,15847,0,0,1612,4411,0,1463,0,0,36508,0,0,0,5278,0,0,1082,0,16774,0,1441,0,0,0,0,0,0,0,0,567,0,0,0,3102,0,0,0,99,140,15,3,0,0,1,4,2,1,4,1,0,1,3,12,1,6,2,1,0
