"","block_id","year_completed","ev_non_residential_bays"
"1",26,2013,136
"2",784,2013,32
"3",1103,2013,145
"4",2544,2013,12
"5",36,2014,143
"6",38,2014,40
"7",212,2014,77
"8",773,2014,9
"9",787,2014,31
"10",931,2014,860
"11",1103,2014,70
"12",1105,2014,67
"13",1109,2014,535
"14",21,2015,150
"15",31,2015,266
"16",101,2015,9
"17",314,2015,24
"18",439,2015,1
"19",501,2015,21
"20",787,2015,50
"21",790,2015,128
"22",802,2015,611
"23",1101,2015,487
"24",1109,2015,78
"25",61,2016,946
"26",115,2016,185
"27",787,2016,51
"28",790,2016,21
"29",1015,2016,30
"30",17,2017,1275
"31",105,2017,90
"32",323,2017,22
"33",438,2017,5
"34",736,2017,228
"35",785,2017,24
"36",786,2017,30
"37",1105,2017,366
"38",74,2018,130
"39",362,2018,66
"40",804,2018,1190
"41",1105,2018,439
"42",786,2019,191
"43",812,2019,125
"44",1108,2019,62
"45",1110,2019,53
"46",2538,2019,8
