"","block_id","year_completed","ev_residential_bays"
"1",256,2013,26
"2",370,2013,34
"3",427,2013,62
"4",729,2013,181
"5",748,2013,222
"6",1108,2013,642
"7",2530,2013,53
"8",84,2014,232
"9",93,2014,445
"10",105,2014,137
"11",263,2014,85
"12",336,2014,31
"13",430,2014,45
"14",810,2014,337
"15",927,2014,188
"16",87,2015,146
"17",104,2015,342
"18",201,2015,98
"19",257,2015,5
"20",368,2015,99
"21",427,2015,31
"22",773,2015,331
"23",811,2015,464
"24",815,2015,3
"25",908,2015,7
"26",1108,2015,386
"27",46,2016,46
"28",71,2016,719
"29",265,2016,12
"30",366,2016,128
"31",376,2016,337
"32",378,2016,188
"33",409,2016,9
"34",710,2016,26
"35",734,2016,409
"36",812,2016,144
"37",815,2016,39
"38",928,2016,133
"39",1108,2016,358
"40",2384,2016,73
"41",28,2017,277
"42",61,2017,204
"43",84,2017,118
"44",94,2017,212
"45",95,2017,96
"46",97,2017,2
"47",111,2017,202
"48",115,2017,163
"49",212,2017,228
"50",254,2017,35
"51",260,2017,51
"52",264,2017,7
"53",265,2017,138
"54",303,2017,47
"55",317,2017,45
"56",334,2017,95
"57",370,2017,41
"58",409,2017,45
"59",413,2017,6
"60",440,2017,209
"61",441,2017,11
"62",724,2017,365
"63",760,2017,307
"64",773,2017,345
"65",928,2017,239
"66",1108,2017,756
"67",1109,2017,704
"68",84,2018,29
"69",97,2018,123
"70",101,2018,87
"71",105,2018,80
"72",317,2018,138
"73",353,2018,8
"74",410,2018,114
"75",422,2018,103
"76",423,2018,10
"77",539,2018,207
"78",618,2018,434
"79",730,2018,104
"80",733,2018,180
"81",747,2018,193
"82",748,2018,31
"83",773,2018,18
"84",865,2018,11
"85",928,2018,114
"86",1108,2018,290
"87",1109,2018,63
"88",32,2019,128
"89",95,2019,364
"90",101,2019,205
"91",233,2019,63
"92",260,2019,36
"93",264,2019,232
"94",319,2019,700
"95",334,2019,1
"96",353,2019,22
"97",368,2019,12
"98",377,2019,115
"99",440,2019,163
"100",444,2019,515
"101",607,2019,31
"102",620,2019,478
"103",811,2019,417
"104",906,2019,2
"105",927,2019,25
"106",1109,2019,142
"107",2544,2019,14
